departure_terminal,checkin_terminal,airline_grouped_hash,cco_hash,flt_hash,m_city_rus1,m_city_rus2,config,sum_bsm,t_st_year,t_st_month,t_st_day,t_st_hour,t_st_minute,t_st_second
0,0,21,34,265,0,109,156,46,2023,7,8,0,5,0
1,1,11,11,227,0,114,202,160,2023,7,8,0,5,0
0,0,21,34,169,0,25,158,86,2023,7,8,0,10,0
0,0,21,34,385,0,41,156,36,2023,7,8,0,10,0
0,0,21,34,326,0,1,196,84,2023,7,8,0,15,0
1,1,34,34,71,0,83,158,68,2023,7,8,0,15,0
1,1,34,34,451,0,20,158,62,2023,7,8,0,15,0
0,1,28,28,47,0,34,189,69,2023,7,8,0,20,0
0,0,21,34,526,0,97,158,39,2023,7,8,0,25,0
1,1,22,25,371,0,19,189,176,2023,7,8,0,25,0
0,0,16,16,209,0,66,189,138,2023,7,8,0,30,0
0,0,21,34,156,0,15,158,82,2023,7,8,0,30,0
0,1,28,28,262,0,100,189,41,2023,7,8,0,35,0
0,0,21,34,104,0,70,140,33,2023,7,8,0,35,0
0,0,21,34,307,0,69,158,46,2023,7,8,0,40,0
0,1,28,28,584,0,75,189,46,2023,7,8,0,45,0
1,1,34,34,245,0,72,183,171,2023,7,8,0,45,0
0,0,21,34,172,0,100,183,56,2023,7,8,0,45,0
1,1,17,17,316,0,32,254,204,2023,7,8,0,50,0
0,0,21,34,458,0,84,170,38,2023,7,8,0,50,0
1,1,34,34,356,0,87,296,139,2023,7,8,1,0,0
0,0,21,34,192,0,104,183,44,2023,7,8,1,0,0
0,0,21,34,414,0,50,183,66,2023,7,8,1,0,0
0,0,21,34,295,0,66,158,46,2023,7,8,1,5,0
0,0,21,34,359,0,39,158,133,2023,7,8,1,25,0
0,0,21,34,332,0,97,87,20,2023,7,8,1,30,0
0,0,21,34,87,0,84,158,52,2023,7,8,1,30,0
0,0,21,34,38,0,92,158,65,2023,7,8,1,35,0
0,0,21,34,286,0,22,373,268,2023,7,8,1,35,0
1,1,35,35,537,0,35,131,121,2023,7,8,1,35,0
1,1,34,34,582,0,17,183,128,2023,7,8,1,45,0
0,0,21,34,511,0,63,156,61,2023,7,8,1,50,0
0,0,21,34,283,0,75,140,38,2023,7,8,1,50,0
0,0,21,34,440,0,96,158,36,2023,7,8,1,50,0
1,1,34,34,44,0,45,158,40,2023,7,8,2,0,0
0,0,21,34,542,0,34,183,59,2023,7,8,2,5,0
1,1,6,6,41,0,16,168,144,2023,7,8,2,10,0
0,0,21,34,106,0,89,183,81,2023,7,8,2,10,0
1,1,34,34,532,0,8,427,284,2023,7,8,2,20,0
0,0,21,34,150,0,67,158,73,2023,7,8,2,20,0
0,0,16,16,211,0,34,189,150,2023,7,8,2,30,0
1,1,4,4,427,0,8,189,137,2023,7,8,2,45,0
1,1,34,34,334,0,95,158,74,2023,7,8,2,55,0
1,1,22,25,382,0,78,440,340,2023,7,8,3,5,0
0,0,21,34,502,0,89,183,57,2023,7,8,4,55,0
0,0,21,34,430,0,89,158,49,2023,7,8,5,30,0
0,1,28,28,366,0,41,189,28,2023,7,8,5,30,0
1,1,20,20,136,0,35,220,109,2023,7,8,5,50,0
0,0,21,34,444,0,61,87,15,2023,7,8,6,0,0
0,0,21,34,365,0,84,140,16,2023,7,8,6,0,0
0,0,21,34,42,0,89,158,57,2023,7,8,6,5,0
0,0,21,34,72,0,82,158,27,2023,7,8,6,15,0
0,0,21,34,468,0,89,196,80,2023,7,8,6,25,0
0,0,21,34,418,0,66,170,47,2023,7,8,6,25,0
0,0,21,34,424,0,25,158,70,2023,7,8,6,30,0
0,0,21,34,441,0,70,87,29,2023,7,8,6,30,0
0,0,21,34,52,0,92,87,23,2023,7,8,6,30,0
0,0,21,34,477,0,41,158,35,2023,7,8,6,30,0
0,0,21,34,27,0,24,87,28,2023,7,8,6,40,0
0,0,21,34,261,0,86,87,45,2023,7,22,19,30,0
0,0,21,34,410,0,44,183,103,2023,7,8,6,45,0
0,0,21,34,499,0,34,87,25,2023,7,8,6,45,0
0,0,21,34,592,0,64,87,20,2023,7,8,6,55,0
0,0,21,34,49,0,109,140,44,2023,7,8,7,0,0
0,1,28,28,26,0,11,189,61,2023,7,8,7,0,0
0,0,21,34,217,0,84,158,7,2023,7,8,7,0,0
0,0,21,34,127,0,93,158,37,2023,7,8,7,5,0
0,0,21,34,84,0,44,183,110,2023,7,8,7,10,0
0,0,21,34,204,0,60,87,58,2023,7,8,7,10,0
1,1,34,34,85,0,38,158,64,2023,7,8,7,15,0
1,1,34,34,21,0,79,402,229,2023,7,8,7,15,0
0,0,21,34,305,0,89,183,116,2023,7,8,7,15,0
0,0,21,34,426,0,39,158,62,2023,7,8,7,20,0
0,0,22,25,420,0,89,365,285,2023,7,8,7,20,0
0,1,28,28,429,0,108,189,30,2023,7,8,7,25,0
0,1,28,28,92,0,52,189,53,2023,7,8,7,30,0
0,1,28,28,13,0,84,189,12,2023,7,8,7,30,0
0,0,21,34,570,0,56,156,63,2023,7,8,7,35,0
1,1,34,34,165,0,18,158,90,2023,7,8,7,35,0
0,1,28,28,362,0,24,189,41,2023,7,8,7,35,0
1,1,34,34,369,0,35,158,89,2023,7,8,7,40,0
0,0,21,34,94,0,37,158,37,2023,7,8,7,40,0
0,1,28,28,443,0,90,189,63,2023,7,8,7,45,0
0,0,21,34,105,0,11,158,70,2023,7,8,7,45,0
1,1,34,34,489,0,33,158,82,2023,7,8,7,50,0
1,1,34,34,100,0,8,296,203,2023,7,8,7,50,0
0,0,21,34,290,0,44,183,122,2023,7,8,7,55,0
0,0,21,34,512,0,67,156,62,2023,7,8,7,55,0
1,1,34,34,467,0,17,183,133,2023,7,8,7,55,0
0,1,28,28,409,0,44,189,79,2023,7,8,8,0,0
0,0,22,25,395,0,56,220,66,2023,7,8,8,0,0
0,0,21,34,125,0,100,87,17,2023,7,8,8,0,0
0,0,21,34,239,0,57,183,112,2023,7,8,8,5,0
0,1,28,28,237,0,47,189,70,2023,7,8,8,5,0
0,1,28,28,56,0,64,189,61,2023,7,8,8,15,0
0,1,28,28,205,0,109,189,71,2023,7,8,8,15,0
0,0,21,34,575,0,82,158,32,2023,7,8,8,20,0
1,1,34,34,578,0,106,402,244,2023,7,8,8,20,0
0,0,21,34,137,0,97,87,42,2023,7,8,8,25,0
0,0,21,34,486,0,26,158,53,2023,7,8,8,25,0
0,0,21,34,555,0,34,183,101,2023,7,8,8,30,0
0,0,21,34,589,0,75,158,74,2023,7,8,8,30,0
0,0,21,34,109,0,84,87,8,2023,7,8,8,35,0
0,0,21,34,86,0,24,140,29,2023,7,8,8,40,0
0,1,28,28,240,0,56,189,54,2023,7,8,8,40,0
1,1,34,34,195,0,91,427,255,2023,7,8,8,40,0
0,0,21,34,523,0,89,296,181,2023,7,8,8,55,0
1,1,34,34,64,0,42,158,104,2023,7,8,9,5,0
1,1,34,34,276,0,114,296,190,2023,7,8,9,5,0
1,1,3,34,29,0,21,457,305,2023,7,8,9,10,0
0,1,28,28,31,0,89,189,102,2023,7,8,9,10,0
1,1,34,34,15,0,58,158,68,2023,7,8,9,10,0
0,0,21,34,266,0,90,158,65,2023,7,8,9,15,0
0,0,21,34,43,0,89,183,95,2023,7,8,9,15,0
0,0,21,34,157,0,100,158,39,2023,7,8,9,20,0
1,1,34,34,378,0,91,170,81,2023,7,8,9,20,0
1,1,34,34,68,0,35,140,83,2023,7,8,9,20,0
0,0,21,34,562,0,74,158,37,2023,7,8,9,25,0
0,0,21,34,83,0,34,170,83,2023,7,8,9,25,0
0,0,21,34,55,0,41,183,28,2023,7,8,9,30,0
0,0,21,34,374,0,86,158,53,2023,7,8,9,30,0
0,0,21,34,161,0,25,158,66,2023,7,8,9,35,0
0,0,21,34,335,0,50,296,114,2023,7,8,9,40,0
0,0,21,34,493,0,84,140,26,2023,7,8,9,40,0
1,1,34,34,480,0,94,156,108,2023,7,8,9,40,0
0,0,21,34,434,0,61,158,33,2023,7,8,9,45,0
0,0,21,34,392,0,89,158,85,2023,7,8,9,45,0
0,1,28,28,548,0,57,189,66,2023,7,8,9,55,0
1,1,26,26,386,0,58,189,100,2023,7,8,9,55,0
0,0,21,34,340,0,69,87,19,2023,7,8,9,55,0
0,0,21,34,149,0,82,183,46,2023,7,8,10,0,0
0,0,21,34,16,0,66,158,66,2023,7,8,10,0,0
0,0,21,34,170,0,89,183,98,2023,7,8,10,15,0
1,1,34,34,177,0,13,158,66,2023,7,8,10,15,0
0,0,21,34,583,0,44,183,138,2023,7,8,10,20,0
0,0,21,34,566,0,84,87,19,2023,7,8,10,25,0
0,0,21,34,560,0,57,183,103,2023,7,8,10,30,0
1,1,34,34,557,0,91,170,82,2023,7,8,10,30,0
0,0,16,16,17,0,60,189,124,2023,7,8,10,35,0
0,0,16,16,175,0,84,189,38,2023,7,8,10,35,0
0,0,21,34,33,0,84,140,28,2023,7,8,10,40,0
0,0,21,34,98,0,71,158,54,2023,7,8,10,40,0
0,1,28,28,412,0,89,189,89,2023,7,8,10,45,0
0,0,21,34,142,0,89,196,106,2023,7,8,10,45,0
0,0,21,34,166,0,60,87,35,2023,7,8,10,45,0
0,0,21,34,182,0,99,87,23,2023,7,8,10,50,0
0,0,21,34,559,0,37,87,22,2023,7,8,10,50,0
0,0,21,34,354,0,109,158,76,2023,7,8,10,50,0
1,1,34,34,415,0,29,158,98,2023,7,8,10,55,0
0,0,21,34,297,0,75,87,16,2023,7,8,11,0,0
1,1,14,14,445,0,6,189,119,2023,7,8,11,5,0
0,0,21,34,318,0,100,156,46,2023,7,8,11,5,0
0,1,28,28,95,0,41,189,34,2023,7,8,11,10,0
0,0,21,34,313,0,41,87,23,2023,7,8,11,20,0
0,0,21,34,411,0,90,158,57,2023,7,8,11,20,0
0,0,21,34,77,0,82,158,57,2023,7,8,11,25,0
0,0,21,34,208,0,89,158,85,2023,7,8,11,25,0
0,0,21,34,491,0,97,170,66,2023,7,8,11,30,0
0,1,28,28,190,0,44,189,99,2023,7,8,11,30,0
0,0,16,16,12,0,82,189,130,2023,7,8,11,30,0
1,1,32,32,302,0,2,290,272,2023,7,8,11,40,0
1,1,34,34,363,0,8,296,185,2023,7,8,11,50,0
0,0,21,34,139,0,70,158,67,2023,7,8,11,55,0
0,0,21,34,550,0,44,183,136,2023,7,8,12,0,0
1,1,34,34,549,0,8,296,214,2023,7,8,12,5,0
0,0,21,34,492,0,11,87,36,2023,7,8,12,5,0
0,1,28,28,558,0,23,189,92,2023,7,8,12,10,0
1,1,34,34,368,0,10,158,78,2023,7,8,12,15,0
1,1,29,29,321,0,8,312,212,2023,7,8,12,20,0
0,1,28,28,329,0,62,189,77,2023,7,8,12,20,0
