Идентификатор рейса,Количество BSM в данном рейсе
8634957.0,49
8634958.0,188
8634961.0,78
8634962.0,28
8634963.0,73
8634964.0,77
8634965.0,67
8634966.0,52
8634968.0,50
8634969.0,229
8634970.0,109
8634971.0,85
8634972.0,38
8634974.0,35
8634976.0,45
8634978.0,40
8634979.0,185
8634980.0,33
8634982.0,217
8634983.0,36
8634984.0,135
8634985.0,81
8634986.0,79
8634988.0,54
8634993.0,94
8634994.0,28
8634996.0,33
8634997.0,60
8634998.0,197
8634999.0,141
8635002.0,162
8635004.0,59
8635005.0,36
8635006.0,47
8635009.0,62
8635010.0,56
8635011.0,140
8635012.0,74
8635013.0,228
8635014.0,98
8635015.0,80
8635018.0,151
8635020.0,80
8635021.0,350
8635026.0,71
8635029.0,47
8635030.0,35
8635035.0,115
8635038.0,21
8635039.0,16
8635041.0,55
8635043.0,23
8635049.0,77
8635050.0,85
8635051.0,25
8635053.0,28
8635055.0,25
8635057.0,40
8635061.0,25
8648743.0,35
8635065.0,117
8635066.0,21
8635069.0,33
8635071.0,13
8635072.0,54
8635074.0,10
8635077.0,37
8635078.0,96
8635080.0,60
8635081.0,81
8635084.0,255
8635085.0,69
8635086.0,49
8635087.0,295
8635089.0,45
8635092.0,49
8635093.0,43
8635095.0,47
8635096.0,116
8635098.0,55
8635100.0,82
8635101.0,33
8635105.0,61
8635106.0,53
8635107.0,74
8635109.0,171
8635111.0,114
8635112.0,71
8635113.0,159
8635115.0,74
8635116.0,55
8635117.0,16
8635118.0,87
8635121.0,55
8635124.0,48
8635125.0,52
8635128.0,46
8635130.0,262
8635133.0,10
8635134.0,57
8635137.0,71
8635138.0,43
8635140.0,15
8635143.0,53
8635146.0,63
8635147.0,217
8635152.0,104
8635156.0,109
8635157.0,129
8635158.0,364
8635159.0,96
8635161.0,72
8635163.0,42
8635164.0,63
8635165.0,39
8635166.0,119
8635167.0,73
8635169.0,45
8635171.0,56
8635174.0,60
8635175.0,59
8635176.0,76
8635178.0,77
8635179.0,29
8635180.0,109
8635183.0,46
8635185.0,62
8635187.0,77
8635189.0,115
8635191.0,48
8635194.0,48
8635195.0,56
8635200.0,84
8635201.0,75
8635204.0,139
8635205.0,26
8635207.0,111
8635209.0,94
8635210.0,149
8635211.0,133
8635214.0,32
8635217.0,35
8635222.0,46
8635223.0,68
8635224.0,43
8635225.0,35
8635226.0,49
8635228.0,76
8635231.0,108
8635235.0,24
8635237.0,136
8635238.0,45
8635239.0,49
8635244.0,63
8635245.0,58
8635246.0,23
8635247.0,62
8635248.0,91
8635249.0,92
8635250.0,107
8635253.0,286
8635256.0,163
8635261.0,43
8635264.0,128
8635265.0,192
8635266.0,49
8635272.0,89
8635275.0,69
8635277.0,183
8635278.0,83
8635281.0,25
8637007.0,15
8635285.0,92
8635287.0,125
8635292.0,67
8635297.0,99
8635305.0,30
8635306.0,25
8635307.0,58
8637008.0,21
8635311.0,59
8635312.0,139
8635313.0,67
8635317.0,53
8635319.0,62
8635323.0,25
8635325.0,36
8635327.0,154
8635328.0,87
8635329.0,55
8635330.0,36
8635335.0,100
8635337.0,56
8635338.0,57
8635339.0,70
8635342.0,52
8635344.0,63
8635346.0,87
8635347.0,78
8635349.0,204
8635352.0,104
8635355.0,64
8635356.0,80
8635361.0,80
8635363.0,59
8635365.0,106
8635366.0,88
8635367.0,40
8635368.0,90
8635369.0,66
8635372.0,47
8630861.0,64
8635373.0,66
8635379.0,53
8635380.0,59
8635383.0,57
8635384.0,184
8635389.0,111
8635393.0,37
8635394.0,118
8635395.0,58
8635396.0,37
8635397.0,56
8635398.0,51
8635403.0,78
8635406.0,29
8635407.0,140
8635411.0,41
8635414.0,398
8635416.0,100
8635418.0,37
8635419.0,58
8635421.0,86
8635423.0,68
8635427.0,52
8635429.0,240
8635434.0,373
8635435.0,72
8637010.0,32
8635439.0,301
8635442.0,171
8635444.0,70
8635446.0,91
8635447.0,43
8635449.0,82
8635452.0,95
8635453.0,91
8635459.0,52
8635460.0,55
8635462.0,43
8635463.0,39
8635464.0,74
8635467.0,71
8635468.0,41
8635469.0,63
8635471.0,86
8635485.0,110
8635486.0,108
8635487.0,254
8635490.0,44
8635493.0,120
8635494.0,84
8635495.0,60
8635498.0,357
8635499.0,382
8635503.0,229
8635509.0,59
8635510.0,85
8635512.0,51
8635513.0,66
8635516.0,57
8635517.0,51
8635519.0,27
8635523.0,40
8635527.0,200
8635529.0,35
8635530.0,53
8635531.0,67
8635533.0,35
8635534.0,47
8635536.0,70
8635539.0,158
8635540.0,378
8635542.0,68
8635543.0,35
8635545.0,147
8635546.0,216
8635548.0,55
8635549.0,96
8635551.0,256
8635552.0,111
8635556.0,400
8635557.0,132
8635561.0,284
8635565.0,35
8635566.0,20
8635568.0,63
8635569.0,171
8635571.0,47
8635572.0,41
8635574.0,90
8635577.0,49
8635578.0,104
8635580.0,96
8635585.0,26
8635586.0,322
8635590.0,47
8635591.0,25
8635593.0,248
8635594.0,70
8635596.0,93
8635599.0,67
8635601.0,43
8635603.0,46
8635607.0,75
8635608.0,69
8635611.0,96
8635613.0,225
8635618.0,59
8635619.0,66
8635620.0,44
8635622.0,228
8635624.0,399
8635627.0,37
8635628.0,47
8641588.0,71
8635631.0,34
8635632.0,60
8635634.0,38
8635635.0,56
8635639.0,183
8635640.0,17
8635641.0,147
8635642.0,190
8635645.0,34
8635646.0,72
8635649.0,59
8635652.0,216
8635654.0,274
8635655.0,70
8635658.0,68
8635661.0,320
8635663.0,50
8635665.0,57
8635668.0,43
8635671.0,44
8635675.0,84
8635676.0,47
8635677.0,40
8635682.0,46
8635685.0,85
8635686.0,72
8635687.0,37
8635689.0,56
8635691.0,64
8635692.0,64
8635695.0,42
8635696.0,50
8635815.0,205
8635845.0,50
8635847.0,44
8635849.0,79
8635851.0,73
8635853.0,68
8635854.0,78
8635855.0,51
8635856.0,50
8635858.0,227
8635860.0,128
8635861.0,83
8635862.0,111
8635864.0,38
8635865.0,36
8635868.0,45
8635869.0,38
8635870.0,33
8635872.0,35
8635873.0,218
8635874.0,80
8635876.0,81
8635877.0,52
8635878.0,211
8635882.0,197
8635883.0,94
8635885.0,33
8635886.0,28
8635887.0,85
8635889.0,162
8635892.0,60
8635893.0,40
8635894.0,46
8635898.0,62
8635899.0,39
8635900.0,76
8635901.0,133
8635902.0,98
8635904.0,168
8635906.0,56
8635910.0,151
8635911.0,112
8635912.0,158
8635916.0,139
8635919.0,63
8635922.0,59
8635923.0,34
8635928.0,114
8635933.0,7
8635934.0,21
8635936.0,53
8635939.0,43
8635943.0,86
8635944.0,76
8635946.0,40
8635948.0,28
8635950.0,26
8635955.0,25
8635958.0,22
8635959.0,116
8635961.0,33
8635963.0,54
8635964.0,11
8635965.0,61
8635967.0,14
8635968.0,37
8635972.0,60
8635973.0,97
8635974.0,152
8635977.0,104
8635978.0,49
8635979.0,45
8635981.0,48
8635985.0,52
8635986.0,51
8635988.0,116
8635990.0,32
8635992.0,83
8635994.0,61
8635995.0,213
8635996.0,53
8635997.0,75
8635999.0,99
8636000.0,162
8636001.0,88
8636003.0,55
8636005.0,74
8636006.0,123
8636008.0,87
8636009.0,55
8636011.0,45
8636012.0,14
8636013.0,261
8636015.0,52
8636016.0,46
8637012.0,23
8636021.0,56
8636024.0,11
8636025.0,67
8636026.0,43
8636029.0,15
8636033.0,53
8636038.0,104
8636039.0,223
8636043.0,108
8636044.0,130
8636048.0,63
8636049.0,64
8636050.0,96
8636052.0,42
8636053.0,39
8636055.0,84
8636058.0,44
8636059.0,55
8636060.0,58
8636061.0,40
8636063.0,15
8636064.0,74
8636067.0,77
8636068.0,110
8636069.0,58
8636072.0,46
8636073.0,73
8636074.0,77
8636075.0,48
8636078.0,74
8636080.0,57
8636081.0,226
8636083.0,23
8636085.0,73
8636087.0,84
